"KH2012:KH.C6.106"
"KH2012:KH.C1.315"
"KH2012:KH.C5.433"
"KH2012:KH.C9.484"
"KH2012:KH.C2.469"
"KH2012:KH.C9.340"
"KH2012:KH.L20.29"
"KH2012:KH.C9.789"
"KH2012:KH.C5.325"
"KH2012:KH.C14.187"
"KH2012:KH.L140.10"
"KH2012:KH.C6.129"
"KH2012:KH.C14.5"
"KH2012:KH.C2.456"
"KH2012:KH.L84.14"
"KH2012:KH.C9.28"
"KH2012:KH.C3.553"
"KH2012:KH.C7.276"
"KH2012:KH.C11.635"
"KH2012:KH.C12.44"
"KH2012:KH.C11.699"
"KH2012:KH.C7.399"
"KH2012:KH.S553.2"
"KH2012:KH.L41.24"
"KH2012:KH.C7.101"
"KH2012:KH.C2.379"
"KH2012:KH.C1.75"
"KH2012:KH.C8.830"
"KH2012:KH.L18.70"
"KH2012:KH.S115.11"
"KH2012:KH.C7.588"
"KH2012:KH.C3.427"
"KH2012:KH.C11.109"
"KH2012:KH.C5.500"
"KH2012:KH.S1029.2"
"KH2012:KH.C9.257"
"KH2012:KH.C14.432"
"KH2012:KH.C14.610"
"KH2012:KH.C10.128"
"KH2012:KH.C7.602"
"KH2012:KH.C2.536"
"KH2012:KH.S638.4"
"KH2012:KH.C8.567"
"KH2012:KH.L128.4"
"KH2012:KH.C8.49"
"KH2012:KH.C2.58"
"KH2012:KH.C8.27"
"KH2012:KH.C5.653"
"KH2012:KH.C14.94"
"KH2012:KH.C6.201"
