"KH2012:KH.L152.2"
"KH2012:KH.C13.22"
"KH2012:KH.L141.21"
"KH2012:KH.C10.264"
"KH2012:KH.C3.736"
"KH2012:KH.C4.506"
"KH2012:KH.L96.87"
"KH2012:KH.C9.423"
"KH2012:KH.C11.249"
"KH2012:KH.C9.717"
"KH2012:KH.C9.850"
"KH2012:KH.L96.23"
"KH2012:KH.C8.774"
"KH2012:KH.C9.541"
"KH2012:KH.C6.94"
"KH2012:KH.C8.372"
"KH2012:KH.C2.150"
"KH2012:KH.C14.464"
"KH2012:KH.C3.134"
"KH2012:KH.C1.669"
"KH2012:KH.C2.1013"
"KH2012:KH.C9.251"
"KH2012:KH.C8.270"
"KH2012:KH.C7.178"
"KH2012:KH.C11.506"
"KH2012:KH.C14.88"
"KH2012:KH.C1.1125"
"KH2012:KH.L132.5"
"KH2012:KH.C8.14"
"KH2012:KH.C14.116"
"KH2012:KH.S766.1"
"KH2012:KH.S460.5"
"KH2012:KH.C12.157"
"KH2012:KH.C11.600"
"KH2012:KH.C3.830"
"KH2012:KH.C9.582"
"KH2012:KH.L155.23"
"KH2012:KH.C1.1109"
"KH2012:KH.C1.697"
"KH2012:KH.C13.146"
"KH2012:KH.C12.129"
"KH2012:KH.C8.660"
"KH2012:KH.C14.487"
"KH2012:KH.L116.40"
"KH2012:KH.C9.512"
"KH2012:KH.C3.179"
"KH2012:KH.S605.3"
"KH2012:KH.C12.156"
"KH2012:KH.C7.370"
"KH2012:KH.C5.487"
